category_type,category_value,dispatches,share_of_all_rows_pct,share_of_recorded_rows_pct
relif_occurplc_type_raw,기타(수원소방서),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원시청),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원역 1호선 상행선방향),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원역 2층 역무실),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원역 광장),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원역 기차 매표소),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원역 대합실),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원역 센트럴타운 아파트 경비실),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원역 지하1층 화장실),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원역 지하2층 인천방향),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원역 지하철도),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원역 플랫폼),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원역 환승센터 ),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원역 환승센터 지하1층),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원역사내 ),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원은혜교회),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원제일교회 정문 앞),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원지방법원),1,0.0013,0.0017
relif_occurplc_type_raw,기타(수원출입국관리사무소),1,0.0013,0.0017
relif_occurplc_type_raw,기타(스타벅스 앞),1,0.0013,0.0017
relif_occurplc_type_raw,기타(스타필드 주차장),1,0.0013,0.0017
relif_occurplc_type_raw,기타(스파클럽백두산사우나),1,0.0013,0.0017
relif_occurplc_type_raw,기타(승강기실 지하),1,0.0013,0.0017
relif_occurplc_type_raw,기타(시내버스 안),1,0.0013,0.0017
relif_occurplc_type_raw,기타(시장),1,0.0013,0.0017
relif_occurplc_type_raw,기타(시장길),1,0.0013,0.0017
relif_occurplc_type_raw,기타(시청),1,0.0013,0.0017
relif_occurplc_type_raw,기타(신고자 자택),1,0.0013,0.0017
relif_occurplc_type_raw,기타(신봉파출소),1,0.0013,0.0017
relif_occurplc_type_raw,기타(실로암교회),1,0.0013,0.0017
relif_occurplc_type_raw,기타(실버타윤),1,0.0013,0.0017
